# Sensor Tramwajowa, Osiedle Biskupin-Sępolno-Dąbie-Bartoszowice, Poland (Citizen Science project luftdaten.info/68308)
# https://aqicn.org/station/@undefined/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2023-02-09T00:00:00.000Z,12,95,38,30,81,25.974,298
2023-02-10T00:00:00.000Z,14,54,29,22,34,7.702,308
2023-02-11T00:00:00.000Z,13,51,31,24,37,9.059,287
2023-02-12T00:00:00.000Z,6,27,19,16,20,3.907,366
2023-02-13T00:00:00.000Z,3,30,16,13,20,5.797,273
2023-02-14T00:00:00.000Z,4,41,16,13,18,6.732,288
2023-02-15T00:00:00.000Z,21,79,39,35,46,11.832,277
2023-02-16T00:00:00.000Z,29,88,64,48,71,14.749,283
2023-02-17T00:00:00.000Z,25,157,50,38,68,30.078,248
2023-02-18T00:00:00.000Z,1,85,15,11,46,21.121,318
2023-02-19T00:00:00.000Z,1,150,30.5,11,64,29.323,286
2023-02-20T00:00:00.000Z,3,44,12,10,15,7.003,331
2023-02-21T00:00:00.000Z,0,112,10,8,13,21.839,328
2023-02-22T00:00:00.000Z,1,75,22,13,36,18.533,303
2023-02-23T00:00:00.000Z,24,81,48,39,55,11.429,272
2023-02-24T00:00:00.000Z,2,48,17,15,30,10.602,364
2023-02-25T00:00:00.000Z,0,173,13,11,33,29.813,255
2023-02-26T00:00:00.000Z,1,31,16,12,21,7.025,358
2023-02-27T00:00:00.000Z,2,99,16,8,31,19.343,391
2023-02-28T00:00:00.000Z,10,96,34,25,39,15.002,275
2023-03-01T00:00:00.000Z,18,92,47,30,70,20.353,310
2023-03-02T00:00:00.000Z,28,104,68,53,81,19.117,310
2023-03-03T00:00:00.000Z,10,66,23,15,36,13.794,360
2023-03-04T00:00:00.000Z,9,85,22,17,27,10.67,314
2023-03-05T00:00:00.000Z,4,35,16,14,19,5.172,314
2023-03-06T00:00:00.000Z,18,71,27,24,30,8.827,330
2023-03-07T00:00:00.000Z,15,71,22,19,42,15.578,325
2023-03-08T00:00:00.000Z,9,74,19,15,25,14.576,346
2023-03-09T00:00:00.000Z,16,59,34,22,41,10.567,278
2023-03-10T00:00:00.000Z,4,45,14,13,18,9.467,321
2023-03-11T00:00:00.000Z,3,432,12,10,27,57.635,328
2023-03-12T00:00:00.000Z,1,31,13,11,19,5.449,308
2023-03-13T00:00:00.000Z,4,183,15,12,18,27.291,336
2023-03-14T00:00:00.000Z,10,65,18,15,21,9.471,212
2023-03-15T00:00:00.000Z,2,78,11,10,14,8.81,327
2023-03-16T00:00:00.000Z,3,71,18,13,34.5,14.546,317
